Dataset,SOC_Configuration,SOC_Display,Mean_MAPE_%,Std_MAPE_%,Mean_RMSE_%,Std_RMSE_%,Mean_R2,Std_R2
Stanford,PS-BO,PS-BO,0.663493,0.099391,0.774114,0.071991,0.974587,0.004857
Stanford,0-100%,0–100%,0.70633,0.069608,0.811064,0.067324,0.972344,0.004442
Stanford,20-80%,20–80%,0.659972,0.043507,0.741565,0.047225,0.97489,0.003146
Stanford,25-75%,25–75%,0.670944,0.045159,0.791576,0.095964,0.97271,0.007223
Stanford,30-70%,30–70%,0.698255,0.103169,0.828224,0.08391,0.971046,0.005949
Stanford,40-60%,40–60%,0.910755,0.229342,1.003398,0.224506,0.955275,0.020325
LFP,PS-BO,PS-BO,0.545505,0.105013,0.600311,0.09682,0.961149,0.01313
LFP,0-100%,0–100%,0.225428,0.051262,0.248452,0.056161,0.993172,0.003366
LFP,20-80%,20–80%,1.128306,0.091479,1.19739,0.080477,0.845708,0.020749
LFP,25-75%,25–75%,1.30487,0.206396,1.372298,0.186472,0.798225,0.054376
LFP,30-70%,30–70%,1.134157,0.401427,1.187256,0.378634,0.832945,0.104512
LFP,40-60%,40–60%,1.347552,0.11004,1.543524,0.077205,0.726052,0.026933
LCO,PS-BO,PS-BO,1.113989,0.169556,1.372354,0.092156,0.987686,0.001671
LCO,0-100%,0–100%,3.328706,0.747898,3.088386,0.821757,0.94266,0.03417
LCO,20-80%,20–80%,1.019846,0.109458,1.402283,0.060718,0.987374,0.001103
LCO,25-75%,25–75%,3.328706,0.747897,3.088387,0.821756,0.94266,0.03417
LCO,30-70%,30–70%,3.328705,0.747898,3.088385,0.821757,0.94266,0.03417
LCO,40-60%,40–60%,3.328708,0.747896,3.088387,0.821755,0.94266,0.03417
NA-ion,PS-BO,PS-BO,0.131499,0.01815,0.142392,0.01801,0.995263,0.001293
NA-ion,0-100%,0–100%,0.673275,0.297555,0.817552,0.277958,0.831837,0.115334
NA-ion,20-80%,20–80%,0.267776,0.079269,0.283498,0.078534,0.979817,0.011062
NA-ion,25-75%,25–75%,0.354237,0.035242,0.372368,0.027061,0.967389,0.004811
NA-ion,30-70%,30–70%,0.912449,0.111398,0.966539,0.078682,0.780659,0.037017
NA-ion,40-60%,40–60%,1.062971,0.157306,1.125534,0.156098,0.699486,0.085674
