Dataset,SOC_Configuration,SOC_Display,Mean_MAPE_%,Mean_RMSE_%,Mean_R2
NCM,PS-BO,PS-BO,0.555,0.6515,0.981
NCM,0-100%,0–100%,0.4029,0.5031,0.9893
NCM,20-80%,20–80%,0.4622,0.5401,0.9847
NCM,25-75%,25–75%,0.4895,0.5487,0.9858
NCM,30-70%,30–70%,0.5489,0.6135,0.9829
NCM,40-60%,40–60%,0.552,0.64,0.9818
NCA,PS-BO,PS-BO,0.3007,0.351,0.9961
NCA,0-100%,0–100%,0.219,0.2796,0.9974
NCA,20-80%,20–80%,0.2407,0.2943,0.9972
NCA,25-75%,25–75%,0.2273,0.2721,0.9976
NCA,30-70%,30–70%,0.247,0.2908,0.9973
NCA,40-60%,40–60%,0.536,0.6534,0.9863
NCM_NCA,PS-BO,PS-BO,0.4384,0.4232,0.9977
NCM_NCA,0-100%,0–100%,0.8423,0.775,0.9925
NCM_NCA,20-80%,20–80%,1.0304,2.4954,0.9331
NCM_NCA,25-75%,25–75%,1.0166,2.4408,0.9375
NCM_NCA,30-70%,30–70%,1.2246,2.6279,0.9248
NCM_NCA,40-60%,40–60%,1.1963,2.955,0.9064
NCM_LCO,PS-BO,PS-BO,0.9184,0.757,0.9979
NCM_LCO,0-100%,0–100%,0.8348,0.6116,0.9987
NCM_LCO,20-80%,20–80%,0.7499,0.6583,0.9982
NCM_LCO,25-75%,25–75%,0.7458,0.6804,0.9982
NCM_LCO,30-70%,30–70%,0.8186,0.5978,0.9986
NCM_LCO,40-60%,40–60%,0.8781,0.6675,0.9984
