Layer_Depth,Layer_Size,Grid_Size,Architecture,RMSE_percent
1,5,5,"(8, 5, 1)",0.326352
1,10,5,"(8, 10, 1)",0.309735
1,15,5,"(8, 15, 1)",0.341322
1,20,5,"(8, 20, 1)",0.320287
1,25,5,"(8, 25, 1)",0.323556
1,30,5,"(8, 30, 1)",0.343425
2,5,5,"(8, 5, 5, 1)",0.307779
2,10,5,"(8, 10, 10, 1)",0.306432
2,15,5,"(8, 15, 15, 1)",0.334041
2,20,5,"(8, 20, 20, 1)",0.320845
2,25,5,"(8, 25, 25, 1)",0.374084
2,30,5,"(8, 30, 30, 1)",0.331951
3,5,5,"(8, 5, 5, 5, 1)",0.341527
3,10,5,"(8, 10, 10, 10, 1)",0.330762
3,15,5,"(8, 15, 15, 15, 1)",0.356686
3,20,5,"(8, 20, 20, 20, 1)",0.316794
3,25,5,"(8, 25, 25, 25, 1)",0.331900
3,30,5,"(8, 30, 30, 30, 1)",0.318022
4,5,5,"(8, 5, 5, 5, 5, 1)",0.328329
4,10,5,"(8, 10, 10, 10, 10, 1)",0.308306
4,15,5,"(8, 15, 15, 15, 15, 1)",0.320108
4,20,5,"(8, 20, 20, 20, 20, 1)",0.319914
4,25,5,"(8, 25, 25, 25, 25, 1)",0.316842
4,30,5,"(8, 30, 30, 30, 30, 1)",0.311369
5,5,5,"(8, 5, 5, 5, 5, 5, 1)",0.325368
5,10,5,"(8, 10, 10, 10, 10, 10, 1)",0.326678
5,15,5,"(8, 15, 15, 15, 15, 15, 1)",0.314597
5,20,5,"(8, 20, 20, 20, 20, 20, 1)",0.325781
5,25,5,"(8, 25, 25, 25, 25, 25, 1)",0.332893
5,30,5,"(8, 30, 30, 30, 30, 30, 1)",0.336143
