Configuration,MAPE (%),RMSE (%)
Case A,1.2731506,1.3472447
Case A,0.68431765,0.7782963
Case A,1.3168006,1.3797004
Case A,0.9516703,1.0554532
Case A,1.1715314,1.2353777
Case A,0.58551794,0.6666585
Case A,1.2274388,1.2819932
Case A,1.039702,1.13098
Case A,1.0637469,1.1439317
Case A,0.7458151,0.870079
Case B,1.1205279,1.189304
Case B,1.0819952,1.2073125
Case B,1.2013432,1.2644322
Case B,1.2198292,1.3015395
Case B,1.1773683,1.2209648
Case B,1.0098046,1.0809066
Case B,1.128781,1.2138577
Case B,1.0409131,1.1195838
Case B,1.2798511,1.4271284
Case B,1.1878092,1.2889072
Case C,1.1352805,1.1653806
Case C,1.3082302,1.3361992
Case C,1.2150689,1.2487692
Case C,0.9933654,1.0499892
Case C,1.2954476,1.3285855
Case C,1.119401,1.1649752
Case C,1.1171938,1.2768096
Case C,0.98953116,1.0862862
Case C,1.1754324,1.2127215
Case C,1.2481619,1.2726052
Case D,0.8779673,0.9741293
Case D,1.1225266,1.1528554
Case D,0.91521984,1.014753
Case D,0.96004105,1.0272974
Case D,1.062528,1.113296
Case D,1.1269444,1.270649
Case D,0.89839464,1.0139675
Case D,0.8940155,1.0221446
Case D,1.1715646,1.222936
Case D,1.1535852,1.2334809
Case E,1.2088149,1.2601131
Case E,1.2736403,1.3211566
Case E,1.1943734,1.2371069
Case E,1.2179141,1.2670479
Case E,1.2205328,1.2703372
Case E,1.1404804,1.2024856
Case E,1.1645068,1.2228324
Case E,1.1501684,1.2019451
Case E,1.1497471,1.1786727
Case E,0.9139251,1.0445169
Case F,1.0303272,1.2055641
Case F,1.1895773,1.2807038
Case F,1.0694594,1.1545053
Case F,0.9118383,1.0549064
Case F,1.1719722,1.2872863
Case F,1.0136875,1.2429901
Case F,0.9348522,1.0553881
Case F,1.2693429,1.312629
Case F,1.0185825,1.1883557
Case F,1.0673376,1.2695309
