Configuration,MAPE (%),RMSE (%)
Case A,0.5778891,0.7009766
Case A,1.0877109,1.1999583
Case A,0.87443024,1.0668327
Case A,1.227021,1.3046939
Case A,0.7323717,0.8395169
Case A,1.0286701,1.1278192
Case A,0.7961993,0.86297905
Case A,0.7575747,0.8951629
Case A,1.1310813,1.237498
Case A,0.80198115,0.92904913
Case B,0.9375415,0.975623
Case B,1.1047249,1.1906334
Case B,0.62069464,0.7632989
Case B,0.67998505,0.77495164
Case B,0.5765673,0.65825826
Case B,0.63976675,0.77422476
Case B,0.93434656,1.0742093
Case B,0.63719475,0.7899428
Case B,0.5519713,0.6990932
Case B,0.7535229,0.8495124
Case C,0.60806865,0.7834291
Case C,0.649326,0.82872033
Case C,0.7158828,0.85471904
Case C,0.70025307,0.838838
Case C,0.5918772,0.7010262
Case C,0.93813634,1.0344067
Case C,0.6644679,0.8283865
Case C,0.71483076,0.87716645
Case C,0.66614485,0.8225984
Case C,0.67344034,0.8251172
Case D,0.60301524,0.7400041
Case D,0.65301746,0.74958223
Case D,0.54525924,0.68285435
Case D,0.60690844,0.77230364
Case D,0.75794023,0.8100318
Case D,0.61280715,0.7039321
Case D,0.8751546,0.93007666
Case D,0.5745286,0.7051075
Case D,0.6307311,0.79600334
Case D,0.77557623,0.8512534
Case E,0.5972324,0.76240844
Case E,0.6782352,0.8370146
Case E,0.6276746,0.8031195
Case E,0.6167941,0.789171
Case E,0.6679312,0.83462435
Case E,0.6880058,0.85472596
Case E,0.6819702,0.80852014
Case E,0.7226918,0.87266445
Case E,0.6646612,0.8105452
Case E,0.6506691,0.78303266
Case F,0.71730685,0.7860366
Case F,0.85535216,0.91395473
Case F,0.8786882,0.9067924
Case F,0.5906734,0.7213739
Case F,0.5671068,0.6855121
Case F,0.70169026,0.8421916
Case F,0.87181747,0.95281684
Case F,0.7601807,0.81089306
Case F,0.75545824,0.85975
Case F,0.66086125,0.7291623
