Dataset,Experiment,MAPE (%),RMSE (%),R²
NCM,1,0.6350708194077015,0.7616002112627029,0.9740754961967468
NCM,2,0.6561539601534605,0.744619220495224,0.975218653678894
NCM,3,0.6445429753512144,0.7677176035940647,0.9736573100090027
NCM,4,0.6764141842722893,0.7886903360486031,0.9721984267234802
NCM,5,0.5862758960574865,0.6730321794748306,0.9797545075416565
NCM,6,0.637857848778367,0.7298068609088659,0.9761947393417358
NCM,7,0.6343688350170851,0.7398905232548714,0.9755324125289917
NCM,8,0.5873254034668207,0.6811448372900486,0.9792634844779968
NCM,9,0.6337469909340143,0.7028719875961542,0.9779194593429565
NCM,10,0.5668891593813896,0.6470940075814724,0.9812849164009094
NCM,Mean,0.6258646072819829,0.7236467767506838,0.976509940624237
NCM,Std,0.0327341898508316,0.04360640498505632,0.0027977109060274103
NCA,1,0.3915815148502588,0.4280934575945139,0.9942096471786499
NCA,2,0.32387934625148773,0.36791940219700336,0.9957230687141418
NCA,3,0.36323382519185543,0.4097710829228163,0.994694709777832
NCA,4,0.38235464598983526,0.44672898948192596,0.993694543838501
NCA,5,0.4785503726452589,0.5206849426031113,0.9914340376853943
NCA,6,0.39244615472853184,0.4374072887003422,0.9939549565315247
NCA,7,0.47212871722877026,0.5061471369117498,0.991905689239502
NCA,8,0.5185076501220465,0.5709602031856775,0.9896999597549438
NCA,9,0.3733222372829914,0.41425121016800404,0.9945780634880066
NCA,10,0.3453073790296912,0.39682374335825443,0.9950246810913086
NCA,Mean,0.40413118433207273,0.4498787457123399,0.9934919357299805
NCA,Std,0.060443767691489285,0.05990871293937136,0.001784778803387127
LFP,1,0.8735549636185169,0.9330632165074348,0.9085222482681274
LFP,2,0.7334142923355103,0.7575201336294413,0.939704954624176
LFP,3,0.6242753472179174,0.7007363252341747,0.9484055638313293
LFP,4,0.49714730121195316,0.5758391693234444,0.9651585817337036
LFP,5,0.5044526886194944,0.5629098508507013,0.9667056202888489
LFP,6,0.998647790402174,1.0327871888875961,0.8879233598709106
LFP,7,0.9304557926952839,0.9642036631703377,0.902314305305481
LFP,8,1.1694513261318207,1.1861499398946762,0.8521665930747986
LFP,9,0.9280878119170666,0.9563622064888477,0.903896689414978
LFP,10,0.6457806099206209,0.7630312349647284,0.9388244152069092
LFP,Mean,0.7905267924070359,0.8432602928951382,0.9213622331619262
LFP,Std,0.21261649635860336,0.1931810670788917,0.034764632474089056
LCO,1,1.0715927928686142,1.367337629199028,0.9878309369087219
LCO,2,0.9251322597265244,1.3168326579034328,0.988713264465332
LCO,3,0.885266624391079,1.2371337041258812,0.9900381565093994
LCO,4,1.320282556116581,1.4729006215929985,0.9858794212341309
LCO,5,1.2949226424098015,1.4856118708848953,0.9856346249580383
LCO,6,0.9530633687973022,1.3408362865447998,0.9882980585098267
LCO,7,1.598314754664898,1.644931174814701,0.9823882579803467
LCO,8,1.261440198868513,1.459508202970028,0.9861350059509277
LCO,9,1.5354730188846588,1.6308793798089027,0.9826878905296326
LCO,10,1.188922207802534,1.4499638229608536,0.9863157868385315
