Dataset,Experiment,MAPE (%),RMSE (%),R²
NCM,1,0.9343455545604229,1.1026263236999512,0.9456607699394226
NCM,2,0.9607358835637569,1.1204217560589314,0.9438926577568054
NCM,3,0.9260539896786213,1.1360850185155869,0.9423129558563232
NCM,4,0.9978670626878738,1.2606887146830559,0.9289649724960327
NCM,5,0.9309371933341026,1.1245125904679298,0.9434821605682373
NCM,6,0.9274216368794441,1.1028063483536243,0.9456430673599243
NCM,7,0.9058407507836819,1.0964466258883476,0.9462681412696838
NCM,8,0.927981548011303,1.1289158836007118,0.9430387020111084
NCM,9,0.9466449730098248,1.117575727403164,0.9441773295402527
NCM,10,1.0359750129282475,1.2026273645460606,0.935357391834259
NCM,Mean,0.9493803605437279,1.1392706353217363,0.9418798148632049
NCM,Std,0.037325771365992695,0.04942053107836874,0.005200754823438326
NCA,1,0.34711381886154413,0.40562902577221394,0.99480140209198
NCA,2,0.33138860017061234,0.3858398413285613,0.99529629945755
NCA,3,0.36600364837795496,0.4267896991223097,0.9942448735237122
NCA,4,0.3392816288396716,0.38926489651203156,0.9952124357223511
NCA,5,0.39271023124456406,0.43534007854759693,0.9940119981765747
NCA,6,0.36015843506902456,0.41170925833284855,0.9946444034576416
NCA,7,0.43562576174736023,0.47561461105942726,0.9928528070449829
NCA,8,0.4122781101614237,0.4517854191362858,0.9935510158538818
NCA,9,0.35235516261309385,0.39727785624563694,0.9950132966041565
NCA,10,0.46751699410378933,0.4972612950950861,0.9921873807907104
NCA,Mean,0.3804432391189039,0.42765119811519986,0.9941815912723542
NCA,Std,0.04290837777944479,0.03559738107232517,0.0009883442586477217
LFP,1,1.0440994054079056,1.056575495749712,0.8827009201049805
LFP,2,0.9832807816565037,0.9992397390305996,0.8950861692428589
LFP,3,0.7324004080146551,0.798727385699749,0.9329667091369629
LFP,4,0.7072426844388247,0.7540155202150345,0.9402615427970886
LFP,5,1.0784496553242207,1.0851054452359676,0.8762807250022888
LFP,6,0.8912873454391956,0.9093981236219406,0.9131036400794983
LFP,7,1.004874613136053,1.013088971376419,0.8921578526496887
LFP,8,0.9859380312263966,0.9913865476846695,0.8967287540435791
LFP,9,0.9363462217152119,0.9840316139161587,0.8982553482055664
LFP,10,0.9261934086680412,0.9438852779567242,0.9063879251480103
LFP,Mean,0.9290112555027008,0.9535454120486975,0.9033929586410523
LFP,Std,0.11697870136343719,0.10086679720789557,0.019407310650242017
LCO,1,1.245277188718319,1.4680073596537113,0.985973060131073
LCO,2,1.4150124043226242,1.5779655426740646,0.9837930202484131
LCO,3,1.525187212973833,1.6357896849513054,0.9825834631919861
LCO,4,1.3497009873390198,1.5370932407677174,0.9846217632293701
LCO,5,1.258827280253172,1.500274334102869,0.9853496551513672
LCO,6,2.0054955035448074,1.9907817244529724,0.9742039442062378
LCO,7,1.4968987554311752,1.6310283914208412,0.9826847314834595
LCO,8,1.1269543319940567,1.4305256307125092,0.9866802096366882
LCO,9,1.5474478714168072,1.6666010022163391,0.9819211959838867
LCO,10,1.0784008540213108,1.372864842414856,0.9877323508262634
LCO,Mean,1.4049202390015125,1.5810931753367186,0.9835543394088745
LCO,Std,0.25254484646833447,0.1636878178010955,0.0035957258134131954
NCM+NCA,1,0.43640537187457085,0.4607470706105232,0.9974965453147888
NCM+NCA,2,0.45494535006582737,0.49106087535619736,0.9971563220024109
NCM+NCA,3,0.4023015033453703,0.40461253374814987,0.9980694055557251
NCM+NCA,4,0.591378565877676,0.572890741750598,0.9961296319961548
