Dataset,Experiment,MAPE (%),RMSE (%),R²
NCM,1,0.5721828900277615,0.665315380319953,0.9802160859107971
NCM,2,0.5426152143627405,0.643167644739151,0.9815113544464111
NCM,3,0.5516487639397383,0.6512225605547428,0.9810453653335571
NCM,4,0.5352612119168043,0.6251938175410032,0.9825302958488464
NCM,5,0.5494788754731417,0.651099206879735,0.9810525178909302
NCM,6,0.5708294920623302,0.6602074950933456,0.9805186986923218
NCM,7,0.5522091872990131,0.6396051961928606,0.9817156195640564
NCM,8,0.5329529754817486,0.6464400794357061,0.9813227653503418
NCM,9,0.5909541621804237,0.6719169206917286,0.9798215627670288
NCM,10,0.55202916264534,0.6607101298868656,0.9804890155792236
NCM,Mean,0.5550161935389042,0.6514878431335092,0.9810223281383514
NCM,Std,0.01710533762929506,0.013027398092536321,0.0007560026395317148
NCA,1,0.2817557193338871,0.32791595440357924,0.9966025352478027
NCA,2,0.25297729298472404,0.31265595462173223,0.9969114065170288
NCA,3,0.29573668725788593,0.3598798532038927,0.9959079623222351
NCA,4,0.332299480214715,0.3857141360640526,0.9952993392944336
NCA,5,0.25510110426694155,0.310084642842412,0.9969620108604431
NCA,6,0.3832686925306916,0.41751968674361706,0.9944921731948853
NCA,7,0.3016168484464288,0.3516752040013671,0.9960923790931702
NCA,8,0.3078066511079669,0.3572392510250211,0.9959677457809448
NCA,9,0.2582824556156993,0.3109887707978487,0.9969442486763
NCA,10,0.338093307800591,0.37622349336743355,0.9955278038978577
NCA,Mean,0.3006938239559531,0.3509896947070956,0.9960707604885102
NCA,Std,0.03975576020630658,0.03415040755276074,0.0007724112879901603
LFP,1,0.502780033275485,0.5826017819344997,0.9643354415893555
LFP,2,0.7376839406788349,0.7734145037829876,0.9371481537818909
LFP,3,0.4951699171215296,0.5476167425513268,0.9684901237487793
LFP,4,0.5442613270133734,0.5969799123704433,0.9625533819198608
LFP,5,0.5502991378307343,0.6174325942993164,0.9599435329437256
LFP,6,0.7442417088896036,0.780994351953268,0.935910165309906
LFP,7,0.45341625809669495,0.49848915077745914,0.9738901257514954
LFP,8,0.46716276556253433,0.5302238743752241,0.9704598784446716
LFP,9,0.4240246955305338,0.4896682221442461,0.974806010723114
LFP,10,0.5360139533877373,0.5856924690306187,0.9639559984207153
LFP,Mean,0.5455053737387061,0.600311360321939,0.9611492812633514
LFP,Std,0.10501332532165775,0.09682007173060919,0.01312986011752602
