Dataset,Experiment,MAPE (%),RMSE (%),R²
NCM,1,0.8900257758796215,1.0785924270749092,0.9480038285255432
NCM,2,0.8903747424483299,1.0755093768239021,0.9483006596565247
NCM,3,0.849644374102354,1.016769465059042,0.9537936449050903
NCM,4,0.9500485844910145,1.1953653767704964,0.9361357092857361
NCM,5,0.9637041017413139,1.2858451344072819,0.9261017441749573
NCM,6,0.8941841311752796,1.0840035043656826,0.9474807977676392
NCM,7,0.9399560280144215,1.146216131746769,0.9412794709205627
NCM,8,0.9891380555927753,1.2349662370979786,0.9318341612815857
NCM,9,0.9307703003287315,1.1137926019728184,0.9445546269416809
NCM,10,0.8962868712842464,1.0969026014208794,0.9462234377861023
NCM,Mean,0.9194132965058088,1.132796285673976,0.9423708081245422
NCM,Std,0.04007322364397077,0.07853020812893818,0.008117080233332746
NCA,1,0.4008866846561432,0.4457559436559677,0.9937220215797424
NCA,2,0.3978361841291189,0.44587128795683384,0.9937187433242798
NCA,3,0.39088078774511814,0.42275660671293736,0.9943531155586243
NCA,4,0.36792694590985775,0.40829419158399105,0.9947328567504883
NCA,5,0.42863860726356506,0.4585816524922848,0.9933555126190186
NCA,6,0.3434251295402646,0.38903721142560244,0.99521803855896
NCA,7,0.3977139014750719,0.41819638572633266,0.9944742918014526
NCA,8,0.40236813947558403,0.4327257629483938,0.9940837025642395
NCA,9,0.4054879304021597,0.43854485265910625,0.9939234852790833
NCA,10,0.42537893168628216,0.4598863422870636,0.9933176636695862
NCA,Mean,0.39605432422831655,0.43196502374485135,0.9940899431705474
NCA,Std,0.0238066235423648,0.02143120898792755,0.0005778950867437886
LFP,1,0.5195351783186197,0.5867818836122751,0.9638218283653259
LFP,2,0.4897812381386757,0.5520258098840714,0.967980682849884
LFP,3,0.6832956802099943,0.7352607790380716,0.9431963562965393
LFP,4,0.49132751300930977,0.5451234988868237,0.9687764048576355
LFP,5,0.514004472643137,0.582650164142251,0.9643294811248779
LFP,6,0.5838776472955942,0.6966973654925823,0.9489986300468445
LFP,7,0.5876076407730579,0.6414218805730343,0.9567704200744629
LFP,8,0.6084764841943979,0.6663771346211433,0.9533411860466003
LFP,9,0.4658160265535116,0.5379877053201199,0.9695884585380554
LFP,10,0.4927007481455803,0.5620424635708332,0.9668081402778625
LFP,Mean,0.5436422629281878,0.6106368685141206,0.9603611588478088
LFP,Std,0.06558029277024897,0.06611438063849277,0.008770489645431838
LCO,1,1.5826759859919548,1.7887420952320099,0.9791741967201233
LCO,2,1.565602421760559,1.7488248646259308,0.9800933003425598
LCO,3,1.187828741967678,1.4905464835464954,0.9855390191078186
LCO,4,2.246634103357792,2.280145511031151,0.9661598801612854
LCO,5,1.1913624592125416,1.431820634752512,0.9866560697555542
LCO,6,1.2697381898760796,1.52425030246377,0.9848776459693909
LCO,7,1.8422754481434822,1.938663050532341,0.9755369424819946
LCO,8,1.2962198816239834,1.6014687716960907,0.9833066463470459
LCO,9,1.6664715483784676,1.9193802028894424,0.9760211706161499
LCO,10,1.5203897841274738,1.6668600961565971,0.9819155931472778
LCO,Mean,1.5369198564440012,1.7390702012926342,0.97992804646492
LCO,Std,0.31424617556763373,0.24374911682331005,0.005842230741457361
NCM+NCA,1,0.4738137125968933,0.46820957213640213,0.9974148273468018
NCM+NCA,2,0.40132803842425346,0.3948080353438854,0.9981618523597717
NCM+NCA,3,0.46416926197707653,0.4648764617741108,0.9974514842033386
NCM+NCA,4,1.3530421070754528,1.1675800196826458,0.9839237928390503
NCM+NCA,5,0.49363705329596996,0.505509227514267,0.9969865083694458
NCM+NCA,6,0.7484870497137308,0.6808918435126543,0.9945327639579773
NCM+NCA,7,0.5659095942974091,0.5490562412887812,0.9964449405670166
NCM+NCA,8,0.44730925001204014,0.44265282340347767,0.9976893663406372
NCM+NCA,9,0.4496282897889614,0.4466783255338669,0.9976471066474915
NCM+NCA,10,0.7408847566694021,0.6914562080055475,0.9943618178367615
NCM+NCA,Mean,0.613820911385119,0.5811718758195639,0.9954614460468292
NCM+NCA,Std,0.2719014569841371,0.21703227796118402,0.004040928562148556
NCM+LCO,1,2.130410075187683,1.8145238980650902,0.9888041019439697
NCM+LCO,2,1.913745142519474,1.7821965739130974,0.9891995191574097
NCM+LCO,3,2.121722511947155,2.0958013832569122,0.9850640296936035
NCM+LCO,4,1.7817215994000435,1.6237176954746246,0.9910349249839783
NCM+LCO,5,2.0804736763238907,1.8215250223875046,0.9887175559997559
NCM+LCO,6,2.001984976232052,1.7010929062962532,0.9901601672172546
NCM+LCO,7,1.8788842484354973,1.7328239977359772,0.989789605140686
NCM+LCO,8,2.0685696974396706,1.7158318310976028,0.9899889230728149
NCM+LCO,9,1.7607644200325012,1.4322474598884583,0.9930245876312256
NCM+LCO,10,1.8550876528024673,1.6111444681882858,0.9911732077598572
NCM+LCO,Mean,1.9593364000320432,1.7330905236303806,0.9896956622600556
NCM+LCO,Std,0.13208227250373672,0.16342711308255725,0.0019702500186893827
NA-ion,1,0.3161225700750947,0.3243234707042575,0.9758126139640808
NA-ion,2,0.2547340467572212,0.29242653399705887,0.9803362488746643
NA-ion,3,0.20777403842657804,0.23914205376058817,0.9868494272232056
NA-ion,4,0.23595651146024466,0.23672475945204496,0.9871139526367188
NA-ion,5,0.2139337593689561,0.22204811684787273,0.9886622428894043
NA-ion,6,0.18381354166194797,0.1938608824275434,0.9913580417633057
NA-ion,7,0.1981077017262578,0.20870233420282602,0.9899841547012329
NA-ion,8,0.3125623567029834,0.32497516367584467,0.9757153391838074
NA-ion,9,0.2144027967005968,0.24507816415280104,0.9861884713172913
NA-ion,10,0.16990624135360122,0.1767270267009735,0.9928181171417236
NA-ion,Mean,0.23073135642334822,0.24640085059218106,0.9854838609695434
NA-ion,Std,0.04757362899144998,0.04913390995467578,0.005823447960393006
Stanford (NCM),1,0.7843303494155407,0.8920397609472275,0.9667659997940063
Stanford (NCM),2,0.7086646277457476,0.7954333908855915,0.9735745787620544
Stanford (NCM),3,0.5759349558502436,0.6938445381820202,0.9798933863639832
Stanford (NCM),4,0.618654303252697,0.7057227659970522,0.9791990518569946
Stanford (NCM),5,0.7189382798969746,0.8149738423526287,0.9722602963447571
Stanford (NCM),6,0.5480695050209761,0.6539694499224424,0.9821380376815796
Stanford (NCM),7,0.8565262891352177,0.9345985949039459,0.9635192155838013
Stanford (NCM),8,0.6278396118432283,0.7353862281888723,0.9774137139320374
Stanford (NCM),9,0.6287349388003349,0.73023303411901,0.9777291417121887
Stanford (NCM),10,0.7247103378176689,0.8623067289590836,0.9689445495605469
Stanford (NCM),Mean,0.6792403198778629,0.7818508334457874,0.974143797159195
Stanford (NCM),Std,0.09150122528153962,0.08828694396301677,0.005867586360556063
