Dataset,Experiment,MAPE (%),RMSE (%),R²
NCM,1,1.010787021368742,1.2455148622393608,0.9306646585464478
NCM,2,1.1545546352863312,1.3862906023859978,0.9141055345535278
NCM,3,0.9654488414525986,1.2145181186497211,0.9340727925300598
NCM,4,1.122062560170889,1.3277499005198479,0.9212067127227783
NCM,5,1.0330953635275364,1.2800339609384537,0.9267681837081909
NCM,6,1.133136823773384,1.3121885247528553,0.9230428338050842
NCM,7,0.943625345826149,1.1710536666214466,0.9387071132659912
NCM,8,1.0782456956803799,1.3108518905937672,0.9231995344161987
NCM,9,1.1420022696256638,1.405794732272625,0.9116715788841248
NCM,10,1.0331269353628159,1.3105327263474464,0.9232369065284729
NCM,Mean,1.061608549207449,1.2964528985321522,0.9246675848960877
NCM,Std,0.07177998244570571,0.06852858892490316,0.007907061654225408
NCA,1,0.4165938124060631,0.45957514084875584,0.993326723575592
NCA,2,0.30546216294169426,0.3499425947666168,0.9961308240890503
NCA,3,0.3167792921885848,0.36100936122238636,0.9958822131156921
NCA,4,0.4011250101029873,0.44298465363681316,0.9937998056411743
NCA,5,0.3600210417062044,0.39796303026378155,0.9949960708618164
NCA,6,0.3922646399587393,0.43367105536162853,0.9940577745437622
NCA,7,0.3719164291396737,0.4158388823270798,0.9945363998413086
NCA,8,0.37817000411450863,0.41912952437996864,0.9944496154785156
NCA,9,0.3508888417854905,0.39455415681004524,0.9950814247131348
NCA,10,0.30252847354859114,0.35094222985208035,0.9961086511611938
NCA,Mean,0.3595749707892537,0.4025610629469156,0.994836950302124
NCA,Std,0.03825424439077191,0.03680804434279747,0.0009312852093639666
LFP,1,0.7097468711435795,0.7576197385787964,0.9396890997886658
LFP,2,1.3429303653538227,1.3373916037380695,0.8120636940002441
LFP,3,0.5492524709552526,0.6102227605879307,0.960873544216156
LFP,4,0.7797806523740292,0.8092762902379036,0.9311843514442444
LFP,5,0.692822365090251,0.7822644896805286,0.9357014894485474
LFP,6,0.6475476548075676,0.6954581942409277,0.9491798877716064
LFP,7,0.7427310105413198,0.8296538144350052,0.927675187587738
LFP,8,0.67474115639925,0.7570214569568634,0.9397842884063721
LFP,9,0.600002333521843,0.6857374217361212,0.9505906701087952
LFP,10,0.8464471437036991,1.0018237866461277,0.8945428133010864
LFP,Mean,0.7586002023890615,0.8266469556838274,0.9241285026073456
LFP,Std,0.210930652963974,0.1968109471070133,0.04098217227702694
LCO,1,2.3574071004986763,2.364329621195793,0.9636150002479553
LCO,2,1.8522977828979492,1.9175419583916664,0.976067066192627
LCO,3,1.4566123485565186,1.5894412994384766,0.9835564494132996
LCO,4,1.4843815937638283,1.621200516819954,0.9828927516937256
LCO,5,1.8345477059483528,1.8959421664476395,0.9766032099723816
LCO,6,1.7860297113656998,1.8816044554114342,0.9769557118415833
LCO,7,1.7584696412086487,1.8192794173955917,0.9784570336341858
LCO,8,1.5645703300833702,1.6722939908504486,0.981797456741333
LCO,9,2.299634739756584,2.2611433640122414,0.9667215943336487
LCO,10,1.5737488865852356,1.672639325261116,0.9817899465560913
LCO,Mean,1.7967699840664864,1.8695416115224361,0.9768456220626831
LCO,Std,0.29836697436114934,0.2493284076020867,0.006413961044661347
NCM+NCA,1,0.3105990123003721,0.3188872942700982,0.9988008141517639
NCM+NCA,2,0.5688353907316923,0.5683192517608404,0.996191143989563
NCM+NCA,3,0.3906471189111471,0.40080687031149864,0.9981055855751038
NCM+NCA,4,0.47730114310979843,0.49594203010201454,0.9970995187759399
NCM+NCA,5,0.5388434510678053,0.5312312860041857,0.9966720342636108
NCM+NCA,6,0.4099068697541952,0.4310441669076681,0.9978089332580566
NCM+NCA,7,0.4373955074697733,0.45221447944641113,0.9975884556770325
NCM+NCA,8,0.41480078361928463,0.4412723705172539,0.9977037310600281
NCM+NCA,9,0.6613584235310555,0.660963449627161,0.9948481321334839
NCM+NCA,10,0.7614634465426207,0.703743239864707,0.9941596388816833
NCM+NCA,Mean,0.4971151147037745,0.5004424438811839,0.9968977987766265
NCM+NCA,Std,0.1296937160085959,0.11234159931111716,0.0013902010944884977
NCM+LCO,1,1.2920619919896126,1.1032323352992535,0.995861291885376
NCM+LCO,2,1.42188323661685,1.203992310911417,0.99507075548172
NCM+LCO,3,2.0600877702236176,1.8661782145500183,0.9881576299667358
NCM+LCO,4,1.615818403661251,1.3555560261011124,0.9937516450881958
NCM+LCO,5,1.272214762866497,0.9568443521857262,0.9968867301940918
NCM+LCO,6,1.6988135874271393,1.5158015303313732,0.9921870231628418
NCM+LCO,7,1.9151302054524422,1.6695907339453697,0.9905211925506592
NCM+LCO,8,1.8363701179623604,1.632002741098404,0.990943193435669
NCM+LCO,9,1.574496366083622,1.3879097998142242,0.9934498071670532
NCM+LCO,10,1.6905086115002632,1.5064740553498268,0.9922828674316406
NCM+LCO,Mean,1.6377385053783655,1.4197582099586725,0.9929112136363983
NCM+LCO,Std,0.24606256082404496,0.26261527804934776,0.002515330105055336
NA-ion,1,0.2189789665862918,0.24583966005593538,0.9861025214195251
NA-ion,2,0.1592847751453519,0.1739147468470037,0.9930448532104492
NA-ion,3,0.18786804284900427,0.2146793995052576,0.9894022941589355
NA-ion,4,0.14387283008545637,0.15962523175403476,0.9941408634185791
NA-ion,5,0.12128223897889256,0.1334675820544362,0.9959037899971008
NA-ion,6,0.18020010320469737,0.21229321137070656,0.9896365404129028
NA-ion,7,0.26135987136512995,0.3045740071684122,0.9786686897277832
NA-ion,8,0.17340765334665775,0.18765603890642524,0.9919024109840393
NA-ion,9,0.1481791608966887,0.15988898230716586,0.9941214919090271
NA-ion,10,0.1418133731931448,0.15254237223416567,0.9946492910385132
NA-ion,Mean,0.17362470156513155,0.19444812322035432,0.9907572746276856
NA-ion,Std,0.039358102153918946,0.04883235648300059,0.004917702978226565
Stanford (NCM),1,1.1909120716154575,1.3040237128734589,0.9289792776107788
Stanford (NCM),2,0.961749441921711,1.0442518629133701,0.9544566869735718
Stanford (NCM),3,1.1497466824948788,1.2538975104689598,0.9343343377113342
Stanford (NCM),4,1.016284804791212,1.0961179621517658,0.9498202204704285
Stanford (NCM),5,0.9556785225868225,1.062022801488638,0.9528933763504028
Stanford (NCM),6,0.8329297415912151,0.9557721205055714,0.9618474841117859
Stanford (NCM),7,1.0357871651649475,1.1942841112613678,0.9404297471046448
Stanford (NCM),8,0.8013387210667133,0.9096280671656132,0.9654425382614136
Stanford (NCM),9,0.9449910372495651,1.0805414989590645,0.9512362480163574
Stanford (NCM),10,0.8805383928120136,0.9850949980318546,0.9594705700874329
Stanford (NCM),Mean,0.9769956581294537,1.0885634645819664,0.9498910486698151
Stanford (NCM),Std,0.11967821093907577,0.12168886914741106,0.011300777239210977
