Dataset,Model,MAPE_mean,MAPE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
NCM,Ours ,1.194273364,0.169810066,1.819426967,0.185161638,0.850513911,0.030262482
NCM,EKAN,2.280752007,0.485066648,3.2526924,0.739908294,0.502660227,0.186156851
NCM,PINN,1.108830646,0.374126794,1.419560788,0.635125404,0.891904044,0.128048404
NCM,LSTM,1.162738223,0.1239344,1.386373108,0.137432384,0.91325112,0.017179707
NCM,Transformer,1.107426481,0.083182004,1.334452135,0.076288151,0.920149106,0.009006128
NCA,Ours ,0.818457389,0.177232271,1.025985517,0.310850383,0.963687998,0.020491582
NCA,EKAN,0.871896767,0.194416962,1.036719899,0.269820639,0.963741165,0.018882728
NCA,PINN,0.50293956,0.148661169,0.544754043,0.169760243,0.989713252,0.007830034
NCA,LSTM,0.603797524,0.174260294,0.633446658,0.176182628,0.986341381,0.007939676
NCA,Transformer,0.90795221,0.081580454,0.985870966,0.066489898,0.981881236,0.002387442
