Domain,Method,MAPE_mean,RMSE_mean,R2_mean
LCO_to_LFP,Source Only,12.24795878,14.55978602,-21.2742691
LCO_to_LFP,Fine-Tuning,1.420395672,1.388160372,0.797337723
LCO_to_LFP,Hybrid EKAN-LoRA,1.41172206,1.413152479,0.788183594
LCO_to_NCA,Source Only,15.55832773,18.24376285,-14.16668129
LCO_to_NCA,Fine-Tuning,1.828875486,2.103102524,0.79795621
LCO_to_NCA,Hybrid EKAN-LoRA,1.615386838,2.00867027,0.813454425
LCO_to_NCM,Source Only,34.81890559,32.50102401,-43.24957657
LCO_to_NCM,Fine-Tuning,0.536971674,0.933148395,0.963514352
LCO_to_NCM,Hybrid EKAN-LoRA,0.564466468,0.864494946,0.968603277
LFP_to_LCO,Source Only,17.96839535,14.37975764,0.142148256
LFP_to_LCO,Fine-Tuning,0.72520264,1.189467097,0.994125473
LFP_to_LCO,Hybrid EKAN-LoRA,0.706584128,1.18990982,0.994121134
LFP_to_NCA,Source Only,8.044812083,7.745045424,-1.733440638
LFP_to_NCA,Fine-Tuning,0.684279441,0.770924347,0.972789466
LFP_to_NCA,Hybrid EKAN-LoRA,0.784377148,0.89835302,0.962985331
LFP_to_NCM,Source Only,15.81191123,15.28820544,-8.791023254
LFP_to_NCM,Fine-Tuning,0.714613912,0.97026838,0.960515994
LFP_to_NCM,Hybrid EKAN-LoRA,0.761163379,1.134337001,0.94553954
NA-ion_to_LCO,Source Only,17.09737331,13.491413,0.244866073
NA-ion_to_LCO,Fine-Tuning,0.679616225,0.919358553,0.99649303
NA-ion_to_LCO,Hybrid EKAN-LoRA,0.691354438,0.924283303,0.99645521
NA-ion_to_LFP,Source Only,20.1685816,18.71073246,-35.78536224
NA-ion_to_LFP,Fine-Tuning,1.596402097,1.692044418,0.698842502
NA-ion_to_LFP,Hybrid EKAN-LoRA,1.56808367,1.741536092,0.680205548
NA-ion_to_NCA,Source Only,9.087530524,10.09279117,-3.641777039
NA-ion_to_NCA,Fine-Tuning,0.898194164,1.074219812,0.946519423
NA-ion_to_NCA,Hybrid EKAN-LoRA,0.768386852,0.964492038,0.955413389
NA-ion_to_NCM,Source Only,17.8968206,17.35876799,-11.6227169
NA-ion_to_NCM,Fine-Tuning,0.672377371,0.940243918,0.962941343
NA-ion_to_NCM,Hybrid EKAN-LoRA,0.703263073,0.968494369,0.960318536
NCA_to_LCO,Source Only,9.054533392,8.651328087,0.689490616
NCA_to_LCO,Fine-Tuning,0.700848945,0.954137146,0.996222478
NCA_to_LCO,Hybrid EKAN-LoRA,0.707720509,0.952000702,0.996239126
NCA_to_LFP,Source Only,13.11412454,11.85369492,-13.76389408
NCA_to_LFP,Fine-Tuning,1.579025835,1.704107467,0.693204778
NCA_to_LFP,Hybrid EKAN-LoRA,1.700579012,1.896220725,0.617450136
NCA_to_NCM,Source Only,31.31172657,33.07050467,-44.81383896
NCA_to_NCM,Fine-Tuning,0.74712052,0.969031835,0.960658032
NCA_to_NCM,Hybrid EKAN-LoRA,0.732006268,1.005949797,0.957585812
NCM_to_LCO,Source Only,16.85296446,15.2578041,0.034186602
NCM_to_LCO,Fine-Tuning,1.161708776,1.363891019,0.992281932
NCM_to_LCO,Hybrid EKAN-LoRA,1.215914162,1.312164664,0.992852342
NCM_to_LFP,Source Only,12.9408136,13.20123523,-17.31144524
NCM_to_LFP,Fine-Tuning,2.793489993,2.937951721,0.092417425
NCM_to_LFP,Hybrid EKAN-LoRA,3.142064251,3.30344731,-0.152231681
NCM_to_NCA,Source Only,7.214317471,8.739860356,-2.480732679
NCM_to_NCA,Fine-Tuning,1.289371271,1.44499694,0.904581809
NCM_to_NCA,Hybrid EKAN-LoRA,1.430136077,1.700474238,0.856361771
