Model,Experiment,Total_Training_Time_s,Avg_Epoch_Time_s,Total_Epochs,Inference_per_1000_ms,CPU_Memory_Avg_GB,GPU_Memory_Avg_Allocated_GB,Status
IAW_PI_EKAN_SOH,Experiment_1,30.8,0.58,51.0,7.084,1.18,0.02,OK
IAW_PI_EKAN_SOH,Experiment_2,44.8,0.55,79.0,6.428,1.19,0.02,OK
IAW_PI_EKAN_SOH,Experiment_3,34.6,0.55,61.0,6.391,1.19,0.02,OK
IAW_PI_EKAN_SOH,Experiment_4,18.2,0.56,31.0,7.878,1.19,0.02,OK
IAW_PI_EKAN_SOH,Experiment_5,27.2,0.61,43.0,7.477,1.19,0.02,OK
IAW_PI_EKAN_SOH,Experiment_6,33.2,0.6,53.0,6.19,1.19,0.02,OK
IAW_PI_EKAN_SOH,Experiment_7,46.3,0.59,75.0,6.94,1.19,0.02,OK
IAW_PI_EKAN_SOH,Experiment_8,42.8,0.64,64.0,7.104,1.19,0.02,OK
IAW_PI_EKAN_SOH,Experiment_9,64.0,0.61,101.0,6.78,1.19,0.02,OK
IAW_PI_EKAN_SOH,Experiment_10,33.7,0.61,53.0,6.657,1.19,0.02,OK
IAW_PI_EKAN_SOH,Average (Exp 1-10),37.56,0.59,61.1,6.8929,1.189,0.02,Average
EKAN_SOH,Experiment_1,21.7,0.25,77.0,10.031,1.29,0.02,OK
EKAN_SOH,Experiment_2,19.1,0.25,69.0,11.056,1.29,0.02,OK
EKAN_SOH,Experiment_3,24.7,0.26,86.0,10.546,1.29,0.02,OK
EKAN_SOH,Experiment_4,18.7,0.25,65.0,10.264,1.29,0.02,OK
EKAN_SOH,Experiment_5,11.8,0.25,41.0,10.984,1.29,0.02,OK
EKAN_SOH,Experiment_6,24.9,0.26,85.0,11.334,1.29,0.02,OK
EKAN_SOH,Experiment_7,17.1,0.27,57.0,10.459,1.29,0.02,OK
EKAN_SOH,Experiment_8,17.6,0.27,57.0,12.251,1.29,0.02,OK
EKAN_SOH,Experiment_9,15.9,0.27,51.0,11.073,1.29,0.02,OK
EKAN_SOH,Experiment_10,18.2,0.28,58.0,11.079,1.29,0.02,OK
EKAN_SOH,Average (Exp 1-10),18.97,0.261,64.6,10.9077,1.29,0.02,Average
PINN_MLP_SOH,Experiment_1,31.9,0.43,71.0,3.283,1.12,0.02,OK
PINN_MLP_SOH,Experiment_2,30.3,0.44,66.0,5.404,1.12,0.02,OK
PINN_MLP_SOH,Experiment_3,34.9,0.45,75.0,2.508,1.12,0.02,OK
PINN_MLP_SOH,Experiment_4,27.2,0.47,55.0,2.391,1.12,0.02,OK
PINN_MLP_SOH,Experiment_5,34.3,0.43,76.0,2.619,1.12,0.02,OK
PINN_MLP_SOH,Experiment_6,31.4,0.45,67.0,4.022,1.12,0.02,OK
PINN_MLP_SOH,Experiment_7,12.6,0.41,29.0,2.658,1.12,0.02,OK
PINN_MLP_SOH,Experiment_8,12.0,0.41,28.0,3.367,1.12,0.02,OK
PINN_MLP_SOH,Experiment_9,23.1,0.4,55.0,2.445,1.12,0.02,OK
PINN_MLP_SOH,Experiment_10,11.3,0.36,30.0,2.461,1.12,0.02,OK
PINN_MLP_SOH,Average (Exp 1-10),24.9,0.425,55.2,3.1158,1.12,0.02,Average
LSTM_SOH,Experiment_1,17.3,0.24,69.0,1.854,0.45,0.02,OK
LSTM_SOH,Experiment_2,17.9,0.22,76.0,1.63,0.45,0.02,OK
LSTM_SOH,Experiment_3,26.5,0.25,100.0,1.771,0.45,0.02,OK
LSTM_SOH,Experiment_4,12.6,0.23,51.0,1.672,0.45,0.02,OK
LSTM_SOH,Experiment_5,20.5,0.25,79.0,3.127,0.45,0.02,OK
LSTM_SOH,Experiment_6,9.7,0.25,37.0,1.804,0.45,0.02,OK
LSTM_SOH,Experiment_7,29.9,0.28,100.0,2.105,0.45,0.02,OK
LSTM_SOH,Experiment_8,15.3,0.29,50.0,2.178,0.44,0.02,OK
LSTM_SOH,Experiment_9,17.2,0.25,65.0,2.012,0.44,0.02,OK
LSTM_SOH,Experiment_10,11.2,0.26,41.0,1.936,0.44,0.02,OK
LSTM_SOH,Average (Exp 1-10),17.81,0.252,66.8,2.0089,0.447,0.02,Average
Transformer_SOH,Experiment_1,17.6,0.36,44.0,13.198,0.68,0.02,OK
Transformer_SOH,Experiment_2,31.0,0.37,76.0,11.08,0.68,0.02,OK
Transformer_SOH,Experiment_3,34.0,0.38,82.0,16.25,0.68,0.02,OK
Transformer_SOH,Experiment_4,38.2,0.39,91.0,11.261,0.68,0.02,OK
Transformer_SOH,Experiment_5,50.1,0.4,114.0,15.553,0.68,0.02,OK
Transformer_SOH,Experiment_6,36.6,0.36,93.0,11.151,0.68,0.02,OK
Transformer_SOH,Experiment_7,18.2,0.34,49.0,10.471,0.68,0.02,OK
Transformer_SOH,Experiment_8,38.0,0.31,116.0,9.996,0.68,0.02,OK
Transformer_SOH,Experiment_9,38.7,0.29,123.0,5.74,0.68,0.02,OK
Transformer_SOH,Experiment_10,33.1,0.28,109.0,6.377,0.68,0.02,OK
Transformer_SOH,Average (Exp 1-10),33.55,0.348,89.7,11.1077,0.68,0.02,Average
